service_name,service_id,sku_name,sku_id,sku_resource_family,sku_resource_group,sku_usage_type,sku_region,sku_vm_family
None
Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Zurich,000F-E31B-1D6F,Compute,N1Standard,OnDemand,europe-west6,N1
Compute Engine,6F81-5844-456A,Spot Preemptible Compute optimized Ram running in Montreal,0012-B7F2-DD14,Compute,RAM,Preemptible,northamerica-northeast1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Paris to Netherlands,0012-DF7B-477A,Network,VPNInterregionIngress,OnDemand,europe-west9,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Paris to Netherlands,0012-DF7B-477A,Network,VPNInterregionIngress,OnDemand,europe-west4,
Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2016 Standard on VM with 18 VCPU,0013-863C-A2FF,License,SQLServer2016Standard,OnDemand,global,
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2012 BYOL (CPU cost),0014-939F-88A0,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Montreal for 1 Year,001D-204A-23DA,Compute,CPU,Commit1Yr,northamerica-northeast1,N1
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Sydney to Warsaw,0024-DFE0-8A9C,Network,VPNInterregionIngress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Sydney to Warsaw,0024-DFE0-8A9C,Network,VPNInterregionIngress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Sole Tenancy Instance RAM running in Jakarta,0026-A923-AA09,Compute,RAM,OnDemand,asia-southeast2,N1
Compute Engine,6F81-5844-456A,Sole Tenancy Premium for N2D AMD Sole Tenancy Instance Core running in Columbus,0028-F8D6-A106,Compute,CPU,OnDemand,us-east5,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Hong Kong to Sydney,0031-0209-F39B,Network,VPNInterregionIngress,OnDemand,asia-east2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Hong Kong to Sydney,0031-0209-F39B,Network,VPNInterregionIngress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,E2 Instance Core running in Paris,0034-652F-8BC9,Compute,CPU,OnDemand,europe-west9,E2
Compute Engine,6F81-5844-456A,Network Internet Standard Tier Egress from Seoul,003A-21C5-CA77,Network,StandardInternetEgress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Nvidia Tesla P100 GPU running in Seoul,003E-D940-4BC0,Compute,GPU,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Toronto to Los Angeles,0043-259E-8E18,Network,VPNInterregionEgress,OnDemand,northamerica-northeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Toronto to Los Angeles,0043-259E-8E18,Network,VPNInterregionEgress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,Sole Tenancy Overcommit Premium for N2 Sole Tenancy Instance RAM running in Columbus,0045-5AC3-AD6E,Compute,RAM,OnDemand,us-east5,
Compute Engine,6F81-5844-456A,Spot Preemptible N2 Custom Instance Core running in Sao Paulo,0048-21CE-74C3,Compute,CPU,Preemptible,southamerica-east1,N2
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Singapore to Seoul,004B-9431-9D1B,Network,InterregionEgress,OnDemand,asia-southeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Singapore to Seoul,004B-9431-9D1B,Network,InterregionEgress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2012 Enterprise on VM with 70 VCPU,0059-5B09-058F,License,Microsoft,OnDemand,global,
Compute Engine,6F81-5844-456A,Compute optimized Instance Core running in Dallas,005F-FF3C-58A2,Compute,CPU,OnDemand,us-south1,C2
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Warsaw to Madrid,0061-CC8F-C497,Network,InterregionEgress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Warsaw to Madrid,0061-CC8F-C497,Network,InterregionEgress,OnDemand,europe-southwest1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Seoul to Montreal,0062-617C-0357,Network,InterregionEgress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Seoul to Montreal,0062-617C-0357,Network,InterregionEgress,OnDemand,northamerica-northeast1,
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2012 Datacenter Edition on g1-small,0063-AC2D-2E3E,License,WindowsServer2012,OnDemand,global,
Compute Engine,6F81-5844-456A,Extreme PD Capacity in Las Vegas,0070-FFFB-5C9C,Storage,SSD,OnDemand,us-west4,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Israel to Santiago,0079-0BAA-3D46,Network,InterregionIngress,OnDemand,me-west1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Israel to Santiago,0079-0BAA-3D46,Network,InterregionIngress,OnDemand,southamerica-west1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Sao Paulo to APAC,0080-E1C7-1253,Network,VPNInterregionEgress,OnDemand,southamerica-east1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Sao Paulo to APAC,0080-E1C7-1253,Network,VPNInterregionEgress,OnDemand,asia-east1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Jakarta to Zurich,0082-5327-F53B,Network,InterregionEgress,OnDemand,asia-southeast2,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Jakarta to Zurich,0082-5327-F53B,Network,InterregionEgress,OnDemand,europe-west6,
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2008R2 BYOL (RAM cost),0082-69B5-4092,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Americas to Melbourne,0086-8707-C3B1,Network,InterregionEgress,OnDemand,us-central1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Americas to Melbourne,0086-8707-C3B1,Network,InterregionEgress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Americas to Melbourne,0086-8707-C3B1,Network,InterregionEgress,OnDemand,us-east1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Americas to Melbourne,0086-8707-C3B1,Network,InterregionEgress,OnDemand,us-west1,
Compute Engine,6F81-5844-456A,Commitment v1: Nvidia Tesla A100 GPU running in APAC for 3 Year,008E-3414-1336,Compute,GPU,Commit3Yr,asia-east1,A2
Compute Engine,6F81-5844-456A,Commitment v1: Memory-optimized Cpu in Seoul for 3 Year,0090-7E87-FF15,Compute,CPU,Commit3Yr,asia-northeast3,
Compute Engine,6F81-5844-456A,Commitment v1: SLES for SAP for VM with 4 VCPU for 3 Year,0091-A9D6-0935,License,SlesSap,Commit3Yr,global,
Compute Engine,6F81-5844-456A,Licensing Fee for Bitnami Cloud9 on g1-small,0093-F1AD-D619,License,BitnamiCloud9,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Vpn Internet Egress from Los Angeles to Americas,0094-7F03-88E0,Network,VPNInternetEgress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,C2D AMD Custom Instance Core running in APAC,0096-7925-F1F5,Compute,CPU,OnDemand,asia-east1,C2D
Compute Engine,6F81-5844-456A,Commitment v1: N2D AMD Cpu in Milan for 1 Year,009A-0D76-C50F,Compute,CPU,Commit1Yr,europe-west8,N2D
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Sao Paulo to Sydney,009E-9C12-2AFF,Network,VPNInterregionIngress,OnDemand,southamerica-east1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Sao Paulo to Sydney,009E-9C12-2AFF,Network,VPNInterregionIngress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Sole Tenancy Premium for Compute-optimized Sole Tenancy Instance RAM running in Sydney,00A1-6CCF-3DF0,Compute,RAM,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Jakarta to London,00A8-02A8-78A7,Network,VPNInterregionEgress,OnDemand,asia-southeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Jakarta to London,00A8-02A8-78A7,Network,VPNInterregionEgress,OnDemand,europe-west2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Salt Lake City to Santiago,00A9-F790-8E4C,Network,InterregionIngress,OnDemand,us-west3,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Salt Lake City to Santiago,00A9-F790-8E4C,Network,InterregionIngress,OnDemand,southamerica-west1,
Compute Engine,6F81-5844-456A,Network Vpn Internet Egress from Israel to India,00AC-32D6-0615,Network,VPNInternetEgress,OnDemand,me-west1,
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2016 Datacenter Edition (CPU cost),00B2-37B0-B8BB,License,Windows2016,OnDemand,global,
